date,book,chapter_slug,word_count,sources_count,verify_flag_count,pantry_notes_found,pantry_lib_files_used,thin_pantry,mechanism_explained,contested_claims_flagged
2026-06-07,learning-experience-design-lxd,01-the-engagement-trap-why-learners-love-products-that-dont-teach,5625,18,5,yes,3,no,"Learning-vs-performance dissociation: why learner judgments and engagement metrics structurally cannot certify learning",2
2026-06-07,learning-experience-design-lxd,02-learning-experience-design-the-discipline-and-its-borders,5738,17,5,yes,1,no,"The optimization-target test: classifying fields and products by the falsifiable outcome they can evidence",3
2026-06-07,learning-experience-design-lxd,03-the-cognitive-machinery-load-difficulty-and-durable-learning,5795,18,4,yes,3,no,"Working-memory bottleneck and CLT load partition, with expertise reversal reconciling reduce-effort vs add-effort",0
2026-06-07,learning-experience-design-lxd,04-motivation-by-design-self-determination-flow-and-task-value,5806,13,1,yes,1,no,"Extrinsic-reward decay via overjustification/motivational crowding; the removal test as diagnostic",3
2026-06-07,learning-experience-design-lxd,05-learner-research-personas-misconceptions-and-task-value-mapping,5819,10,0,yes,3,no,"Misconceptions as coherent wrong models surfaced via predict-explain-confront",2
2026-06-07,learning-experience-design-lxd,06-mapping-the-learning-journey-experience-not-content,5821,11,1,yes,1,no,"Friction stacking across shared working-memory/motivational/cost budgets; dropout cliffs as vertical pile-ups",1
2026-06-07,learning-experience-design-lxd,07-co-design-learners-as-design-partners,5652,13,1,yes,1,no,"The authority-boundary problem: fluency-miscalibrated learner metacognition and the three-layer decision-rights split",0
2026-06-07,learning-experience-design-lxd,08-prototyping-learning-experiences-from-paper-to-pilot,5596,10,2,yes,1,no,"Testing learning interactions vs interfaces: the four-channel learning-interaction test and zero-delay bias",1
2026-06-07,learning-experience-design-lxd,09-designing-for-variability-udl-accessibility-and-the-equity-test,5769,12,0,yes,2,no,"Three justification logics (obligated/evidence-supported/contested) for deciding under honest uncertainty",12
2026-06-07,learning-experience-design-lxd,10-gamification-under-evidence-motivation-mechanics-that-survive-the-meta-analyses,5003,11,1,yes,1,no,"Motivational crowding: why expected contingent rewards displace intrinsic motivation below baseline",1
2026-06-07,learning-experience-design-lxd,11-immersive-and-embodied-learning-when-the-medium-earns-its-cost,4929,10,1,yes,0,no,"Interface-induced extraneous load: the medium as a second curriculum consuming the working-memory budget",1
2026-06-07,learning-experience-design-lxd,12-ai-in-the-learning-experience-scaffold-or-crutch,5543,12,0,yes,3,no,"The crutch effect: substitution for retrieval/generation/diagnosis/persistence counterfeiting the feeling of learning",1
2026-06-07,learning-experience-design-lxd,13-instrumenting-the-experience-xapi-analytics-and-adaptive-models,5580,14,0,yes,4,no,"Design-literacy reading of the adaptive layer: IRT and Bayes posterior as flag generators not verdicts",2
2026-06-07,learning-experience-design-lxd,14-evaluating-learning-experience-quality-beyond-the-smile-sheet,5207,15,0,yes,4,no,"The two-register qualified conclusion: confound honesty compressed into a stakeholder register",2
2026-06-07,learning-experience-design-lxd,15-the-full-redesign-one-experience-every-decision,5617,18,0,yes,2,no,"The decision trace and higher-bar Evidence Disclosure: evidence overruling preference, with reversal signals named",6
